SUB;Réel;Distance cos;Moyenne
invasions;invasions;0.19802371487408926;0.32220672342736306
whose;whose;0.25692253296005935;0.32220672342736306
topic;topic;0.36150197233404774;0.32220672342736306
view;view;0.3633241973680383;0.32220672342736306
him;him;0.4698248525714046;0.32220672342736306
unlimited;unlimited;0.2516068493980049;0.32220672342736306
Confidently;Confidently;0.04599442757242934;0.32220672342736306
powers;powers;0.3467065011006792;0.32220672342736306
translated;translated;0.19659258734220592;0.32220672342736306
work;work;0.46159975217277777;0.32220672342736306
mention;mention;0.2572413805643896;0.32220672342736306
incorporated;incorporated;0.22164839166434627;0.32220672342736306
theory;theory;0.3369768862836039;0.32220672342736306
itself;itself;0.3771059385597052;0.32220672342736306
oppose;oppose;0.3830471769471659;0.32220672342736306
quest;quest;0.43950437991024177;0.32220672342736306
obvious;obvious;0.43681623855501633;0.32220672342736306
restored;restored;0.25215366336414397;0.32220672342736306
weapons;weapons;0.42899127121904224;0.32220672342736306
master;master;0.26328966963956235;0.32220672342736306
walk;walk;0.3157460296602729;0.32220672342736306
suspicion;suspicion;0.2571223766356752;0.32220672342736306
pay;pay;0.4708739529897268;0.32220672342736306
society;society;0.4092090482849606;0.32220672342736306
unaided;unaided;0.1571929564142295;0.32220672342736306
aggression;aggression;0.38666886795514005;0.32220672342736306
dwarfed;dwarfed;0.13625958347434378;0.32220672342736306
quality;quality;0.4695948861345148;0.32220672342736306
elements;elements;0.32818560676895625;0.32220672342736306
credits;credits;0.20111697468733272;0.32220672342736306
treaties;treaties;0.42083750562894;0.32220672342736306
considerations;considerations;0.28947411434685194;0.32220672342736306
views;views;0.32658527537431403;0.32220672342736306
age;age;0.2663031155066973;0.32220672342736306
definition;definition;0.3271158214424693;0.32220672342736306
patriot;patriot;0.31688896495220253;0.32220672342736306
choices;choices;0.3391791324684093;0.32220672342736306
on;on;0.2167356882421273;0.32220672342736306
ground;ground;0.2877732439517702;0.32220672342736306
somewhat;somewhat;0.3155454447058253;0.32220672342736306
calculated;calculated;0.2364955782914351;0.32220672342736306
executive;executive;0.2563844390557726;0.32220672342736306
arm;arm;0.33966707991159584;0.32220672342736306
allies;allies;0.39363082601230065;0.32220672342736306
struggling;struggling;0.334758746772804;0.32220672342736306
formidable;formidable;0.2808202861601491;0.32220672342736306
servants;servants;0.3632907322902876;0.32220672342736306
native;native;0.2779207858263981;0.32220672342736306
failure;failure;0.3862988166464211;0.32220672342736306
strongly;strongly;0.33976275237538617;0.32220672342736306
coordinate;coordinate;0.29928344383730365;0.32220672342736306
opinion;opinion;0.3770903030870903;0.32220672342736306
cooperating;cooperating;0.3264767754102149;0.32220672342736306
among;among;0.32843631872619294;0.32220672342736306
instrumentalities;instrumentalities;0.3218921870398288;0.32220672342736306
room;room;0.21265927709812346;0.32220672342736306
lest;lest;0.3087630596210841;0.32220672342736306
majority;majority;0.4789437142123365;0.32220672342736306
despotism;despotism;0.46147970775501845;0.32220672342736306
imperfectly;imperfectly;0.2706946985517223;0.32220672342736306
express;express;0.3742229595054575;0.32220672342736306
record;record;0.2541509461891551;0.32220672342736306
likely;likely;0.3337905551979446;0.32220672342736306
humanity;humanity;0.44553645320979807;0.32220672342736306
Should;Should;0.3008709352573123;0.32220672342736306
uncertainty;uncertainty;0.28112619162433333;0.32220672342736306
claim;claim;0.2747719332534875;0.32220672342736306
Every;Every;0.2498870395681828;0.32220672342736306
strictly;strictly;0.4518783630055426;0.32220672342736306
confidence;confidence;0.3751084688177351;0.32220672342736306
friendship;friendship;0.4154415155774689;0.32220672342736306
authors;authors;0.17070085400664753;0.32220672342736306
tariff;tariff;0.290243048042983;0.32220672342736306
conclusive;conclusive;0.3418563801719598;0.32220672342736306
bear;bear;0.34512486668480635;0.32220672342736306
modification;modification;0.3171217414603841;0.32220672342736306
try;try;0.4714526211259856;0.32220672342736306
Divided;Divided;0.10705432242666654;0.32220672342736306
different;different;0.4177134515495379;0.32220672342736306
wherever;wherever;0.45647640831203146;0.32220672342736306
generation;generation;0.3559623488744989;0.32220672342736306
European;European;0.3176404435342705;0.32220672342736306
hardly;hardly;0.38420765550620445;0.32220672342736306
sincere;sincere;0.45467514612637405;0.32220672342736306
highly;highly;0.3203790857443479;0.32220672342736306
back;back;0.4550455649508387;0.32220672342736306
live;live;0.36679493534464847;0.32220672342736306
oppressing;oppressing;0.4402418480350099;0.32220672342736306
thank;thank;0.312719330713464;0.32220672342736306
hand;hand;0.4106907105477161;0.32220672342736306
successfully;successfully;0.26393843230473596;0.32220672342736306
disorderly;disorderly;0.24525519780886373;0.32220672342736306
witnessed;witnessed;0.23739902208705704;0.32220672342736306
seven;seven;0.371664891344181;0.32220672342736306
misrepresentation;misrepresentation;0.1822960048820997;0.32220672342736306
attached;attached;0.19368113475482782;0.32220672342736306
misdirect;misdirect;0.19308515036843046;0.32220672342736306
vast;vast;0.35829643555154606;0.32220672342736306
acceptance;acceptance;0.31904406246701816;0.32220672342736306
compensated;compensated;0.18109538409557904;0.32220672342736306
