SUB;Réel;Distance cos;Moyenne
invasions;invasions;0.1747264429270675;0.31494840908190275
whose;whose;0.23827510490951764;0.31494840908190275
topic;topic;0.2237237271169832;0.31494840908190275
view;view;0.3708090301563214;0.31494840908190275
him;him;0.43265127065515663;0.31494840908190275
unlimited;unlimited;0.17878126728520063;0.31494840908190275
Confidently;Confidently;0.0433238791948536;0.31494840908190275
powers;powers;0.34717828998367084;0.31494840908190275
translated;translated;0.17605619251411406;0.31494840908190275
work;work;0.4877405330844344;0.31494840908190275
mention;mention;0.2613933235243532;0.31494840908190275
incorporated;incorporated;0.23346350837877386;0.31494840908190275
theory;theory;0.3491576278824101;0.31494840908190275
itself;itself;0.38374149359530785;0.31494840908190275
oppose;oppose;0.3027374717699522;0.31494840908190275
quest;quest;0.5263816451609128;0.31494840908190275
obvious;obvious;0.4423362010758252;0.31494840908190275
restored;restored;0.2348080936399691;0.31494840908190275
weapons;weapons;0.45058606310780064;0.31494840908190275
master;master;0.2832132669897617;0.31494840908190275
walk;walk;0.2530139979326605;0.31494840908190275
suspicion;suspicion;0.293372360680185;0.31494840908190275
pay;pay;0.46001576772926805;0.31494840908190275
society;society;0.4136654297722607;0.31494840908190275
unaided;unaided;0.11694897505874563;0.31494840908190275
aggression;aggression;0.39727998604582404;0.31494840908190275
dwarfed;dwarfed;0.12551837882357963;0.31494840908190275
quality;quality;0.4870146165924435;0.31494840908190275
elements;elements;0.3023622122115227;0.31494840908190275
credits;credits;0.17191147957624453;0.31494840908190275
treaties;treaties;0.44069314686185623;0.31494840908190275
considerations;considerations;0.26981653901081604;0.31494840908190275
views;views;0.342805693776182;0.31494840908190275
age;age;0.26974647817178127;0.31494840908190275
definition;definition;0.29608081028409927;0.31494840908190275
patriot;patriot;0.31949865032156693;0.31494840908190275
choices;choices;0.3056050992246095;0.31494840908190275
on;on;0.10883352853422619;0.31494840908190275
ground;ground;0.26461140518658427;0.31494840908190275
somewhat;somewhat;0.22905805146686575;0.31494840908190275
calculated;calculated;0.25860659839366906;0.31494840908190275
executive;executive;0.30777291953005703;0.31494840908190275
arm;arm;0.45095716542894254;0.31494840908190275
allies;allies;0.44455389703667925;0.31494840908190275
struggling;struggling;0.26366573437195756;0.31494840908190275
formidable;formidable;0.3073457099967447;0.31494840908190275
servants;servants;0.3399767810663398;0.31494840908190275
native;native;0.3262863410377275;0.31494840908190275
failure;failure;0.35404821696620964;0.31494840908190275
strongly;strongly;0.33050915434479033;0.31494840908190275
coordinate;coordinate;0.2965895918151917;0.31494840908190275
opinion;opinion;0.37350174873437497;0.31494840908190275
cooperating;cooperating;0.19201083359588283;0.31494840908190275
among;among;0.33411321270482025;0.31494840908190275
instrumentalities;instrumentalities;0.2867783043562893;0.31494840908190275
room;room;0.2347545363027136;0.31494840908190275
lest;lest;0.32763163948205337;0.31494840908190275
majority;majority;0.4723801130694238;0.31494840908190275
despotism;despotism;0.48745606458308144;0.31494840908190275
imperfectly;imperfectly;0.19663758573777387;0.31494840908190275
express;express;0.36095132553841003;0.31494840908190275
record;record;0.2853841296603196;0.31494840908190275
likely;likely;0.32538871256223245;0.31494840908190275
humanity;humanity;0.42290598449860267;0.31494840908190275
Should;Should;0.24275361856447925;0.31494840908190275
uncertainty;uncertainty;0.28705347717674107;0.31494840908190275
claim;claim;0.2834115371204231;0.31494840908190275
Every;Every;0.2519082473617797;0.31494840908190275
strictly;strictly;0.476486603944727;0.31494840908190275
confidence;confidence;0.3832308873192293;0.31494840908190275
friendship;friendship;0.4423350569077027;0.31494840908190275
authors;authors;0.1339842159347517;0.31494840908190275
tariff;tariff;0.29662640090500414;0.31494840908190275
conclusive;conclusive;0.3882274877735953;0.31494840908190275
bear;bear;0.3628100355947389;0.31494840908190275
modification;modification;0.3278455637204936;0.31494840908190275
try;try;0.49088347022829965;0.31494840908190275
Divided;Divided;0.08127730172608216;0.31494840908190275
different;different;0.4155309970567728;0.31494840908190275
wherever;wherever;0.3930429307602303;0.31494840908190275
generation;generation;0.35916102561480534;0.31494840908190275
European;European;0.28475657420053324;0.31494840908190275
hardly;hardly;0.38008523456819804;0.31494840908190275
sincere;sincere;0.4842418714423921;0.31494840908190275
highly;highly;0.36505327028114476;0.31494840908190275
back;back;0.4617579299381648;0.31494840908190275
live;live;0.37104703253051186;0.31494840908190275
oppressing;oppressing;0.4506410265828239;0.31494840908190275
thank;thank;0.3367659099373512;0.31494840908190275
hand;hand;0.4586104675230901;0.31494840908190275
successfully;successfully;0.3067374594081807;0.31494840908190275
disorderly;disorderly;0.19825017684863136;0.31494840908190275
witnessed;witnessed;0.19175959092922387;0.31494840908190275
seven;seven;0.352394467509992;0.31494840908190275
misrepresentation;misrepresentation;0.121750804474;0.31494840908190275
attached;attached;0.22471359351521722;0.31494840908190275
misdirect;misdirect;0.1253142628094773;0.31494840908190275
vast;vast;0.3711427116768197;0.31494840908190275
acceptance;acceptance;0.26475135898069063;0.31494840908190275
compensated;compensated;0.1393549662959838;0.31494840908190275
